id,name,name_ko,category,description,css_variables,suitable_industries,avoid_industries,pairs_with_styles,complexity
glassmorphism,Glassmorphism,글래스모피즘,modern,"Frosted glass effect with transparency and blur creating depth and layered interfaces.","backdrop-filter:blur(16px);background:rgba(255|255|255|0.15);border:1px solid rgba(255|255|255|0.2);border-radius:16px;box-shadow:0 8px 32px rgba(0|0|0|0.1)","saas,fintech,ai-product,portfolio","government,healthcare",frosted-layers|mesh-gradient|floating-ui,medium
bento-grid,Bento Grid,벤토 그리드,modern,"Grid-based layout inspired by Japanese bento boxes with varied card sizes creating visual hierarchy.","display:grid;grid-template-columns:repeat(auto-fit|minmax(200px|1fr));gap:16px;border-radius:24px;padding:16px","saas,ai-product,portfolio,dashboard-dense","legal,retro-pixel",minimalism|3d-cards|dashboard-dense,medium
aurora-ui,Aurora UI,오로라 UI,modern,"Subtle animated gradient backgrounds mimicking northern lights with soft color transitions.","background:linear-gradient(135deg|#667eea|#764ba2|#6B8DD6|#8E37D7);animation:aurora 8s ease infinite;filter:blur(0);background-size:400% 400%","ai-product,creative-agency,portfolio,saas","government,legal,manufacturing",mesh-gradient|gradient-blur|soft-gradient,high
mesh-gradient,Mesh Gradient,메시 그라디언트,modern,"Complex multi-point gradient meshes creating organic color blends as backgrounds and accents.","background:conic-gradient(from 45deg|#12c2e9|#c471ed|#f64f59);background-blend-mode:overlay;border-radius:20px;filter:saturate(1.2)","creative-agency,ai-product,portfolio,saas","legal,government",aurora-ui|glassmorphism|gradient-blur,medium
ai-native,AI Native,AI 네이티브,modern,"Design language built around AI interactions with streaming text and conversational UI.","animation:pulse 2s cubic-bezier(0.4|0|0.6|1) infinite;border-radius:24px;background:linear-gradient(to right|#1a1a2e|#16213e);color:#e2e8f0;font-family:Inter|system-ui","ai-product,saas,education,fintech","manufacturing,retail",terminal-hacker|minimalism|dark-mode-first,high
floating-ui,Floating UI,플로팅 UI,modern,"Elevated card-based design with prominent shadows and floating elements creating depth perception.","box-shadow:0 20px 60px rgba(0|0|0|0.12);border-radius:20px;transform:translateY(-2px);transition:all 0.3s ease;background:#ffffff","saas,ecommerce,portfolio,education","terminal-hacker,grunge",glassmorphism|3d-cards|soft-gradient,medium
gradient-blur,Gradient Blur,그라디언트 블러,modern,"Blurred gradient backgrounds with crisp foreground content for striking visual contrast.","backdrop-filter:blur(40px) saturate(180%);background:rgba(255|255|255|0.08);border:1px solid rgba(255|255|255|0.1);mask-image:linear-gradient(black|transparent)","ai-product,creative-agency,saas,portfolio","healthcare,legal",glassmorphism|aurora-ui|mesh-gradient,medium
frosted-layers,Frosted Layers,프로스티드 레이어,modern,"Multiple stacked translucent layers with varying blur levels creating dimensional interfaces.","backdrop-filter:blur(24px);background:rgba(255|255|255|0.1);border:1px solid rgba(255|255|255|0.15);z-index:auto;box-shadow:inset 0 0 0 1px rgba(255|255|255|0.1)","saas,ai-product,creative-agency","government,manufacturing",glassmorphism|gradient-blur|floating-ui,high
neon-glow,Neon Glow,네온 글로우,modern,"Dark backgrounds with vibrant neon-colored elements featuring glow effects and light bleeding.","box-shadow:0 0 20px rgba(0|255|136|0.5);color:#00ff88;background:#0a0a0a;text-shadow:0 0 10px currentColor;border:1px solid rgba(0|255|136|0.3)","gaming,entertainment,nightlife,creative-agency","healthcare,education,government",cyberpunk|terminal-hacker|dark-mode-first,medium
holographic,Holographic,홀로그래픽,modern,"Iridescent rainbow shimmer effects mimicking holographic materials with angle-dependent color shifts.","background:linear-gradient(135deg|#ff0080|#7928ca|#ff0080|#00d4ff);background-size:200% 200%;filter:brightness(1.1);mix-blend-mode:screen;animation:hologram 3s ease infinite","creative-agency,fashion,entertainment,portfolio","healthcare,legal,fintech",neon-glow|cyberpunk|vaporwave,high
