id,name,display_font,body_font,display_weight,body_weight,style_mood,pairs_with_style,cdn_url,fallback
modern-geometric,Modern Geometric,Plus Jakarta Sans,Inter,700,400,clean|modern|geometric,minimal-dashboard|saas-landing|portfolio,https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@700&family=Inter:wght@400&display=swap,"system-ui, sans-serif"
clean-sans,Clean Sans,DM Sans,Inter,600,400,clean|neutral|professional,admin-panel|dashboard|docs,https://fonts.googleapis.com/css2?family=DM+Sans:wght@600&family=Inter:wght@400&display=swap,"system-ui, sans-serif"
tech-geometric,Tech Geometric,Space Grotesk,IBM Plex Sans,600,400,techy|geometric|sharp,dev-tools|api-docs|saas,https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@600&family=IBM+Plex+Sans:wght@400&display=swap,"system-ui, sans-serif"
friendly-round,Friendly Round,Nunito,Nunito Sans,700,400,friendly|round|approachable,education|kids|community,https://fonts.googleapis.com/css2?family=Nunito:wght@700&family=Nunito+Sans:wght@400&display=swap,"system-ui, sans-serif"
elegant-sans,Elegant Sans,Outfit,DM Sans,600,400,elegant|modern|refined,portfolio|agency|brand,https://fonts.googleapis.com/css2?family=Outfit:wght@600&family=DM+Sans:wght@400&display=swap,"system-ui, sans-serif"
sharp-clean,Sharp Clean,Manrope,Nunito Sans,700,400,sharp|clean|structured,fintech|corporate|analytics,https://fonts.googleapis.com/css2?family=Manrope:wght@700&family=Nunito+Sans:wght@400&display=swap,"system-ui, sans-serif"
minimal-swiss,Minimal Swiss,Geist,Inter,500,400,minimal|swiss|functional,minimal-dashboard|docs|utilities,https://fonts.googleapis.com/css2?family=Geist:wght@500&family=Inter:wght@400&display=swap,"system-ui, sans-serif"
soft-modern,Soft Modern,Poppins,Open Sans,600,400,soft|modern|welcoming,startup|marketing|blog,https://fonts.googleapis.com/css2?family=Poppins:wght@600&family=Open+Sans:wght@400&display=swap,"system-ui, sans-serif"
corporate-solid,Corporate Solid,Lexend,Source Sans 3,600,400,corporate|solid|trustworthy,enterprise|dashboard|crm,https://fonts.googleapis.com/css2?family=Lexend:wght@600&family=Source+Sans+3:wght@400&display=swap,"system-ui, sans-serif"
startup-fresh,Startup Fresh,Sora,Inter,600,400,fresh|startup|energetic,saas-landing|startup|product,https://fonts.googleapis.com/css2?family=Sora:wght@600&family=Inter:wght@400&display=swap,"system-ui, sans-serif"
playful-sans,Playful Sans,Quicksand,Karla,600,400,playful|light|casual,kids|creative|lifestyle,https://fonts.googleapis.com/css2?family=Quicksand:wght@600&family=Karla:wght@400&display=swap,"system-ui, sans-serif"
professional-neutral,Professional Neutral,Figtree,Lato,600,400,professional|neutral|balanced,corporate|saas|admin,https://fonts.googleapis.com/css2?family=Figtree:wght@600&family=Lato:wght@400&display=swap,"system-ui, sans-serif"
bold-impact,Bold Impact,Montserrat,Hind,700,400,bold|impact|strong,marketing|landing|sports,https://fonts.googleapis.com/css2?family=Montserrat:wght@700&family=Hind:wght@400&display=swap,"system-ui, sans-serif"
airy-light,Airy Light,Urbanist,Outfit,300,300,airy|light|spacious,portfolio|gallery|lifestyle,https://fonts.googleapis.com/css2?family=Urbanist:wght@300&family=Outfit:wght@300&display=swap,"system-ui, sans-serif"
premium-thin,Premium Thin,Tenor Sans,Lato,400,300,premium|thin|luxurious,fashion|luxury|beauty,https://fonts.googleapis.com/css2?family=Tenor+Sans&family=Lato:wght@300&display=swap,"system-ui, sans-serif"
humanist-warm,Humanist Warm,Merriweather Sans,Open Sans,700,400,humanist|warm|readable,blog|news|editorial,https://fonts.googleapis.com/css2?family=Merriweather+Sans:wght@700&family=Open+Sans:wght@400&display=swap,"system-ui, sans-serif"
neo-grotesque,Neo Grotesque,Albert Sans,Inter,600,400,neo-grotesque|clean|contemporary,saas|dashboard|admin,https://fonts.googleapis.com/css2?family=Albert+Sans:wght@600&family=Inter:wght@400&display=swap,"system-ui, sans-serif"
condensed-data,Condensed Data,Barlow Condensed,Barlow,600,400,condensed|data|dense,analytics|data-dashboard|finance,https://fonts.googleapis.com/css2?family=Barlow+Condensed:wght@600&family=Barlow:wght@400&display=swap,"system-ui, sans-serif"
wide-display,Wide Display,Unbounded,DM Sans,700,400,wide|display|bold,creative|brand|hero,https://fonts.googleapis.com/css2?family=Unbounded:wght@700&family=DM+Sans:wght@400&display=swap,"system-ui, sans-serif"
rounded-soft,Rounded Soft,Comfortaa,Nunito Sans,600,400,rounded|soft|gentle,wellness|kids|community,https://fonts.googleapis.com/css2?family=Comfortaa:wght@600&family=Nunito+Sans:wght@400&display=swap,"system-ui, sans-serif"
editorial-serif,Editorial Serif,Playfair Display,Source Sans 3,700,400,editorial|elegant|dramatic,magazine|editorial|luxury,https://fonts.googleapis.com/css2?family=Playfair+Display:wght@700&family=Source+Sans+3:wght@400&display=swap,"Georgia, serif"
luxury-classic,Luxury Classic,Cormorant Garamond,Lato,600,400,luxury|classic|refined,luxury|fashion|jewelry,https://fonts.googleapis.com/css2?family=Cormorant+Garamond:wght@600&family=Lato:wght@400&display=swap,"Georgia, serif"
magazine-editorial,Magazine Editorial,DM Serif Display,DM Sans,400,400,magazine|editorial|stylish,magazine|blog|lifestyle,https://fonts.googleapis.com/css2?family=DM+Serif+Display&family=DM+Sans:wght@400&display=swap,"Georgia, serif"
literary-elegant,Literary Elegant,Lora,Merriweather Sans,600,400,literary|elegant|readable,blog|publishing|literary,https://fonts.googleapis.com/css2?family=Lora:wght@600&family=Merriweather+Sans:wght@400&display=swap,"Georgia, serif"
