id,name,industry,primary,secondary,accent,background,text,border,cta,dark_primary,dark_bg,dark_text,mood,pairs_with_style
saas-trust,SaaS Trust Blue,saas,#2563EB,#3B82F6,#06B6D4,#F8FAFC,#0F172A,#E2E8F0,#2563EB,#60A5FA,#0F172A,#F1F5F9,trustworthy|professional|clean,"minimal-modern,flat-corporate"
saas-growth,SaaS Growth Green,saas,#059669,#10B981,#F59E0B,#F0FDF4,#064E3B,#D1FAE5,#059669,#34D399,#0A1A14,#E2E8F0,growth|optimistic|fresh,"minimal-modern,gradient-soft"
saas-violet,SaaS Violet Pro,saas,#7C3AED,#8B5CF6,#EC4899,#FAF5FF,#1E1B4B,#EDE9FE,#7C3AED,#A78BFA,#110E2B,#E8E0F5,innovative|modern|creative,"glassmorphism,neubrutalism"
fintech-dark-premium,Fintech Dark Premium,fintech,#1E3A5F,#2563EB,#00D4AA,#F8FAFC,#0F172A,#CBD5E1,#00D4AA,#38BDF8,#0B1120,#CBD5E1,premium|secure|sophisticated,"dark-elegant,minimal-modern"
fintech-neon,Fintech Neon Edge,fintech,#6366F1,#818CF8,#22D3EE,#FAFAFA,#111827,#E5E7EB,#22D3EE,#818CF8,#0D0F1A,#D1D5DB,bold|futuristic|energetic,"glassmorphism,gradient-soft"
fintech-forest,Fintech Forest Trust,fintech,#166534,#15803D,#FBBF24,#F7FEE7,#14532D,#D9F99D,#4ADE80,#22C55E,#0A1F10,#D1D5DB,stable|trustworthy|natural,"flat-corporate,minimal-modern"
healthcare-calm,Healthcare Calm Blue,healthcare,#0284C7,#38BDF8,#14B8A6,#F0F9FF,#0C4A6E,#BAE6FD,#0EA5E9,#7DD3FC,#0A1929,#E0F2FE,calm|caring|professional,"minimal-modern,flat-corporate"
healthcare-warm,Healthcare Warm Coral,healthcare,#E11D48,#FB7185,#6366F1,#FFF1F2,#4C0519,#FECDD3,#F43F5E,#FDA4AF,#1A0A10,#F5E6EA,compassionate|warm|approachable,"rounded-friendly,gradient-soft"
healthcare-mint,Healthcare Mint Fresh,healthcare,#0D9488,#2DD4BF,#3B82F6,#F0FDFA,#134E4A,#CCFBF1,#14B8A6,#5EEAD4,#0A1E1B,#D5F0EB,fresh|healing|serene,"minimal-modern,flat-corporate"
ecommerce-bold,E-Commerce Bold Orange,ecommerce,#EA580C,#F97316,#8B5CF6,#FFFBEB,#431407,#FED7AA,#F97316,#FB923C,#1C0E04,#F5E6D6,energetic|exciting|bold,"neubrutalism,gradient-soft"
ecommerce-elegant,E-Commerce Elegant Navy,ecommerce,#1E40AF,#3B82F6,#F59E0B,#F8FAFC,#172554,#DBEAFE,#F59E0B,#60A5FA,#0D1530,#D6E0F0,elegant|premium|trustworthy,"minimal-modern,dark-elegant"
ecommerce-fresh,E-Commerce Fresh Teal,ecommerce,#0F766E,#14B8A6,#F43F5E,#F0FDFA,#115E59,#CCFBF1,#14B8A6,#2DD4BF,#0A1A18,#D0EBE7,fresh|modern|inviting,"rounded-friendly,flat-corporate"
education-friendly,Education Friendly Blue,education,#2563EB,#60A5FA,#FBBF24,#EFF6FF,#1E3A5F,#BFDBFE,#FBBF24,#93C5FD,#0F1D33,#D6E4F5,friendly|engaging|trustworthy,"rounded-friendly,flat-corporate"
education-playful,Education Playful Purple,education,#9333EA,#A855F7,#F97316,#FAF5FF,#581C87,#E9D5FF,#F97316,#C084FC,#1A0E30,#E0D0F0,playful|creative|inspiring,"neubrutalism,gradient-soft"
education-nature,Education Nature Green,education,#15803D,#22C55E,#0EA5E9,#F0FDF4,#14532D,#BBF7D0,#22C55E,#4ADE80,#0A1F10,#C8EAD0,natural|calm|growth,"minimal-modern,rounded-friendly"
