id,name,name_ko,recommended_styles,recommended_colors,recommended_fonts,anti_patterns,data_density,key_principles
saas,SaaS,SaaS 일반,"minimalism,flat-design,glassmorphism,material-design","saas-trust,saas-growth","modern-geometric,clean-sans,playful-sans",brutalism|heavy-textures|ornamental-borders|serif-heavy,medium,clarity>decoration; consistent-spacing; single-primary-cta; progressive-disclosure; scannable-hierarchy
micro-saas,Micro SaaS,마이크로 SaaS,"minimalism,flat-design,glassmorphism",micro-saas-clean,"modern-geometric,rounded-soft,clean-sans",over-engineering|complex-navigation|enterprise-bloat|heavy-imagery,low,simplicity-first; one-core-action; fast-onboarding; value-upfront; lightweight-feel
ecommerce,E-commerce,전자상거래,"flat-design,minimalism,material-design,skeuomorphism","ecommerce-bold,ecommerce-elegant,ecommerce-fresh","playful-sans,modern-geometric,rounded-soft",cluttered-layout|auto-play-audio|hidden-prices|tiny-product-images,high,product-first; frictionless-checkout; trust-signals; clear-pricing; responsive-grid
luxury-ecommerce,Luxury E-commerce,럭셔리 전자상거래,"minimalism,editorial-magazine,luxury-minimal,glassmorphism","luxury-ecommerce-gold,luxury-ecommerce-noir","editorial-serif,impact-display,modern-geometric",discount-badges|neon-colors|cluttered-grids|cheap-stock-photos,low,whitespace-is-luxury; typography-hierarchy; restrained-palette; hero-imagery; subtle-animations
service-landing,Service Landing,서비스 랜딩,"minimalism,flat-design,glassmorphism,mesh-gradient","social-media-vibrant,home-service-trust,creator-economy-warm","modern-geometric,playful-sans,rounded-soft",wall-of-text|no-cta|multiple-equal-ctas|stock-photo-overload,low,single-purpose; above-fold-value; social-proof; clear-cta; scannable-sections
b2b-service,B2B Service,B2B 서비스,"minimalism,flat-design,material-design,corporate-clean","b2b-service-corp,b2b-service-modern","modern-geometric,clean-sans,playful-sans",playful-illustrations|neon-colors|informal-tone|heavy-animations,medium,credibility-first; data-driven-proof; clear-roi; professional-tone; structured-layout
financial-dashboard,Financial Dashboard,금융 대시보드,"flat-design,minimalism,material-design,data-viz-first","financial-dashboard-trust,financial-dashboard-premium","clean-sans,tech-mono,modern-geometric",decorative-elements|low-contrast|ambiguous-charts|playful-colors,high,data-accuracy; real-time-clarity; information-hierarchy; consistent-metrics; zero-ambiguity
analytics-dashboard,Analytics Dashboard,분석 대시보드,"flat-design,data-viz-first,minimalism,material-design","analytics-dashboard-blue,analytics-dashboard-dark","tech-mono,clean-sans,modern-geometric",decorative-fonts|heavy-borders|3d-effects|inconsistent-scales,high,data-ink-ratio; consistent-axes; drill-down-clarity; comparative-layouts; alert-hierarchy
medical-app,Medical App,의료 앱,"minimalism,flat-design,material-design,neumorphism",medical-app-clinical,"playful-sans,clean-sans,rounded-soft",aggressive-red|tiny-fonts|complex-animations|dark-only,medium,accessibility-first; calming-colors; clear-typography; trust>flash; error-prevention
education-app,Education App,교육 앱,"flat-design,minimalism,material-design,hand-drawn","dental-bright,education-nature,creator-economy-warm","rounded-soft,playful-sans,modern-geometric",monotone-palette|dense-text|no-visual-feedback|complex-navigation,medium,engagement>decoration; progress-visibility; bite-sized-content; encouraging-feedback; intuitive-flow
creative-agency,Creative Agency,크리에이티브 에이전시,"brutalism,glassmorphism,mesh-gradient,editorial-magazine,anti-design","creative-agency-bold,creative-agency-mono,creative-agency-neon","impact-display,editorial-serif,tech-mono",corporate-blandness|stock-photos|template-feel|conservative-layout,low,portfolio-impact; visual-storytelling; brand-personality; creative-risk; memorable-experience
portfolio,Portfolio,포트폴리오,"minimalism,brutalism,editorial-magazine,glassmorphism","portfolio-minimal,portfolio-creative","editorial-serif,impact-display,modern-geometric",cluttered-layout|competing-elements|autoplay-everything|over-designed,low,work-speaks; clean-navigation; intentional-whitespace; personality-through-detail; fast-loading
gaming,Gaming,게임,"cyberpunk,neon-glow,mesh-gradient,glassmorphism,parallax-depth","gaming-neon,gaming-matrix,gaming-fire","impact-display,tech-mono,modern-geometric",corporate-feel|pastel-colors|minimal-imagery|static-layouts,medium,immersion-first; dynamic-energy; community-driven; bold-typography; responsive-interactions
government,Government,정부/공공,"flat-design,minimalism,material-design,accessibility-first",government-official,"clean-sans,playful-sans,modern-geometric",trendy-effects|dark-mode-only|small-fonts|complex-interactions,medium,accessibility-aaa; plain-language; predictable-navigation; high-contrast; mobile-first
