id,name,name_ko,category,detection_rule,severity,alternative,description
generic-purple-gradient,Generic Purple Gradient,보라색 그래디언트 남용,color,"bg-gradient-to-r from-purple.*to-pink|from-violet.*to-fuchsia",high,"Use brand-specific gradient tokens or subtle single-hue gradients with CSS variables","Purple-to-pink gradients are the most overused AI-generated design pattern. They signal zero design intent and make every app look identical."
hardcoded-white,Hardcoded White Background,하드코딩 흰색,color,"bg-white[^""]*""[^>]*>",high,"Use bg-background or bg-card semantic tokens from your design system","Hardcoded bg-white without dark: variant breaks dark mode and couples your UI to a specific theme. Always use semantic color tokens."
hardcoded-black,Hardcoded Black Text,하드코딩 검정,color,"text-black[^""]*""[^>]*>",high,"Use text-foreground or text-muted-foreground semantic tokens","Hardcoded text-black without dark: variant breaks dark mode and ignores accessibility contrast requirements across themes."
neon-on-light,Neon on Light Background,밝은 배경에 네온,color,"text-(lime|green|cyan|emerald)-(300|400).*bg-(white|gray-50|slate-50)",medium,"Use darker shade variants (600-700) for text on light backgrounds or reserve neon for dark themes only","Neon/bright accent colors on light backgrounds create poor contrast ratios and strain readability."
rainbow-overload,Rainbow Color Overload,무지개 색 남용,color,"(text|bg|border)-(red|orange|yellow|green|blue|purple|pink)-.*(text|bg|border)-(red|orange|yellow|green|blue|purple|pink)-.*(text|bg|border)-(red|orange|yellow|green|blue|purple|pink)-",medium,"Limit palette to 2-3 color families max per component and derive shades from CSS custom properties","Using 5+ distinct color families in one component creates visual chaos and undermines brand coherence."
low-contrast-text,Low Contrast Text,낮은 대비 텍스트,color,"text-(gray|slate|zinc)-(300|400).*bg-(white|gray-50|slate-50)|text-(gray|slate|zinc)-(300|400)[^""]*""",high,"Use text-muted-foreground (min 4.5:1 contrast) or check with WCAG contrast checker before shipping","Light gray text on white or near-white backgrounds fails WCAG AA contrast requirements and is unreadable for many users."
generic-blue-500,Default Blue-500,기본 blue-500,color,"(bg|text|border)-blue-500",medium,"Define primary color as a CSS variable (--primary) and use bg-primary/text-primary tokens","Using raw Tailwind blue-500 instead of semantic tokens makes theming impossible and screams default template."
no-dark-mode-colors,No Dark Mode Support,다크모드 미대응,color,"(bg|text)-(white|black|gray-[0-9]+).*""[^""]*$",medium,"Add dark: variants for all color utilities or use semantic tokens that auto-adapt","Components without any dark: variants break in dark mode and show you skipped half the design work."
generic-inter-font,Generic Inter Only,Inter 기본 폰트,typography,"font-family:.*Inter[^,]*[;\"']|fontFamily.*['\"]Inter['\"]",medium,"Configure a distinctive display font pairing in tailwind.config and use font-heading/font-body tokens","Inter is the default AI-generated font choice. Add at least a custom display/heading font to create visual identity."
all-bold-text,Excessive Bold Text,전체 볼드,typography,"(font-bold|font-semibold).*(font-bold|font-semibold).*(font-bold|font-semibold)",medium,"Use font-bold sparingly for emphasis only; rely on font-size and color for hierarchy instead","When everything is bold nothing stands out. Over-bolding flattens visual hierarchy and fatigues readers."
tiny-important-text,Tiny Important Text,중요 텍스트 너무 작음,typography,"text-xs[^""]*>(Price|Total|Error|Warning|Amount|Status|Balance)",medium,"Use text-sm minimum for actionable or critical information; reserve text-xs for tertiary metadata only","Important information like prices or error messages in text-xs is hard to read and signals low importance to users."
no-heading-hierarchy,Missing Heading Hierarchy,제목 계층 없음,typography,"<h[3-6][> ]",high,"Always start with h1 then h2 before using h3+; use a HeadingLevel context provider if needed","Skipping h1/h2 and jumping to h3/h4 without an h1/h2 present breaks document outline for screen readers and harms SEO."
inconsistent-font-sizes,Inconsistent Font Sizes,폰트 크기 불일치,typography,"text-(sm|base|lg)[^""]*>.*</.*>.*text-(sm|base|lg)[^""]*>.*</",medium,"Define text size tokens per role (body/caption/label) in your design system and apply consistently","Same-role elements with different text sizes create visual noise and undermine design system consistency."
wall-of-text,Wall of Text,텍스트 벽,typography,"<p[^>]*class=""[^""]*"">[^<][^<][^<][^<][^<][^<][^<][^<][^<][^<]",low,"Add max-w-prose (65ch) to text containers and break content into digestible paragraphs","Long paragraphs without max-w-prose width constraints are unreadable. Limit line length to 45-75 characters."
generic-system-font,System Font Only,시스템 폰트만 사용,typography,"className=""[^""]*font-sans[^""]*""",low,"Add a custom font in next/font and extend fontFamily in tailwind.config.ts","Relying solely on font-sans with no custom font configuration results in a generic look indistinguishable from any template."
symmetric-hero,Symmetric Hero Layout,좌우 대칭 Hero,layout,"grid-cols-2.*hero|hero.*grid-cols-2|<section.*grid.*cols-2.*<img",medium,"Try asymmetric layouts (60/40 split) or full-bleed hero with overlapping elements for more visual interest","The 50/50 text-left image-right hero is the most cliched AI layout. Break symmetry to create visual interest."
everything-centered,Everything Centered,전부 중앙 정렬,layout,"(text-center.*\n.*){4,}|text-center.*text-center.*text-center.*text-center",medium,"Left-align body text and use center only for headings or CTA sections; vary alignment for hierarchy","Centering every element creates a monotonous layout with poor readability for body text."
no-visual-hierarchy,No Visual Hierarchy,시각 계층 없음,layout,"(gap-4.*gap-4.*gap-4|space-y-4.*space-y-4.*space-y-4)",high,"Vary spacing (gap-2/gap-6/gap-12) and element sizes to create clear primary/secondary/tertiary hierarchy","Uniform spacing and sizing across all elements makes nothing stand out. Vary scale to guide the eye."
padding-inconsistency,Padding Inconsistency,패딩 불일치,layout,"p-[0-9]+.*p-[0-9]+.*p-[0-9]+",medium,"Define spacing tokens (sm/md/lg) and use consistent padding for same-level container elements","Mixing p-4 p-6 p-8 on sibling elements at the same hierarchy level creates visual jitter and feels unpolished."
no-responsive,No Responsive Breakpoints,반응형 없음,layout,"grid-cols-[0-9]+[^""]*""[^>]*>",high,"Add md: and lg: breakpoint variants for grid columns and padding; test at 375px/768px/1280px","Grid layouts without sm:/md:/lg: responsive breakpoints break on mobile and show the layout was only tested at one size."
sidebar-too-wide,Sidebar Too Wide,사이드바 과도,layout,"(w-80|w-96|w-\[3[2-9][0-9]|w-\[4[0-9][0-9]).*sidebar|sidebar.*(w-80|w-96)",low,"Keep sidebar width at w-64 (256px) max and use collapsible sidebar for extra content","Sidebars wider than 288px steal too much horizontal space from main content on standard laptop screens."
content-too-narrow,Content Too Narrow,콘텐츠 너무 좁음,layout,"max-w-(xs|sm).*main|main.*max-w-(xs|sm)",medium,"Use max-w-4xl or max-w-6xl for main content areas; reserve max-w-sm for cards or modals only","Main content constrained to max-w-sm (384px) or smaller wastes screen space and forces excessive scrolling."
grid-overuse,Grid Overuse,그리드 남용,layout,"grid grid-cols-1 [^""]*gap",low,"Use flex for single-row layouts; reserve CSS grid for actual 2D grid patterns","Using grid-cols-1 for single-column layouts adds unnecessary complexity. Use flex-col or simple block layout."
transition-all,Transition All Abuse,transition-all 남용,animation,"transition-all",medium,"Use transition-colors or transition-opacity or transition-transform for the specific property animating","transition-all animates every CSS property including layout-triggering ones causing janky performance."
too-many-animations,Too Many Animations,애니메이션 과다,animation,"(animate-|motion-)(bounce|pulse|spin|ping|fade|slide|scale).*(animate-|motion-)(bounce|pulse|spin|ping|fade|slide|scale).*(animate-|motion-)(bounce|pulse|spin|ping|fade|slide|scale)",medium,"Limit to 1-2 animations per viewport; use animation only to convey meaning not decoration","Pages with 5+ simultaneous animations feel chaotic and distract from content. Animate with purpose."
no-reduced-motion,No Reduced Motion Support,모션 감소 미대응,animation,"animate-(bounce|pulse|spin|ping|fade|slide|scale)",high,"Wrap animations in motion-safe: or add @media (prefers-reduced-motion: reduce) fallbacks","Animations without prefers-reduced-motion check cause motion sickness for vestibular disorder users. Verify motion-reduce is paired."
jarring-entrance,Jarring Entrance Animation,급격한 등장,animation,"duration-(75|100)[^0-9]",medium,"Use duration-200 minimum for entrance animations; 300-500ms feels natural for most UI transitions","Ultra-fast entrance animations (75-100ms) appear as jarring flashes rather than smooth transitions."
placeholder-ipsum,Lorem Ipsum Left In,Lorem ipsum 방치,general,"[Ll]orem [Ii]psum|dolor sit amet|consectetur adipiscing",high,"Replace with real or realistic content; use faker/seed data for development placeholders","Lorem ipsum in production signals incomplete work and prevents testing real content layout edge cases."
missing-empty-state,Missing Empty State,빈 상태 없음,general,"\.map\([^)]*=>",high,"Add explicit empty state UI with illustration and CTA when data array is empty (items.length === 0)","Data lists using .map() without a corresponding empty state check show blank voids that confuse users."
no-loading-state,No Loading State,로딩 상태 없음,general,"(useQuery|useSWR|fetch\(|axios\.)",high,"Add Skeleton components or loading spinners while async data is in flight; use Suspense boundaries","Async data fetching calls without corresponding loading/skeleton state cause layout shifts and leave users staring at empty screens."
